,ADDED_BY_USER,DTTM_RCD_ADDED,UPDATED_BY_USER,POLICY_ID,POLICY_NAME,POLICY_NUMBER,POLICY_STATUS_CODE,INSURER_EID,ISSUE_DATE,REVIEW_DATE,RENEWAL_DATE,EFFECTIVE_DATE,EXPIRATION_DATE,CANCEL_DATE,PREMIUM,TRIGGER_CLAIM_FLAG,PRIMARY_POLICY_FLG,COMMENTS,DTTM_RCD_LAST_UPD,BROKER_EID,BANK_ACC_ID,SUB_ACC_ROW_ID,HTMLCOMMENTS,ALL_STATES_FLAG,POLICY_SYSTEM_ID,POLICY_LOB_CODE,POLICY_SYMBOL,EXTERNAL_POLICY_ID,CURRENCY_CODE,MODULE,MASTER_COMPANY,LOCATION_COMPANY,BRANCH_CODE,LEGACY_UNIQUE_IDENTIFIER,INVALID_IND,PAID_TO_DATE,ISSUE_SYSTEM,RESINSURANCE_FLAG,RETRO_DATE,TAIL_DATE,REINSURANCE_CODE,EXTERNAL_POLICY_KEY,MASTER_COMPANY_DESC,INJURY_MGT_PROGRAM_CODE,CANCEL_REASON_CODE,GST_RATE,GST_AMOUNT,ITC_RATE,PREMIUM_WO_GST,PRODUCT_TYPE,PRODUCT_SUB_TYPE,REPT_PRODUCT_TYPE,ISSUE_STATE,MAJOR_LOB,FACE_AMOUNT,CONTESTABLE,INSURED_INDICATOR,ANNUITY_QUAL_TYPE,PAR_TYPE,ADMIN_PAID_DATE,PLAN_CODE,REGION,CLIENT_PROG_ID,UMR_ROW_ID,PROCESSED
56,TCON2A,20120922173502,TCON2A,104298,11CAA5499000,1154990,212,0,,,,20061219,20071219,20071219,0.0,0,-1,,20120922173502,0,0,0,,0,1,26319,CAA,,26723,00,05,00,01,136324,0,,,0,,,0,"CAA,1154990,00,05,00",,,,,,,,,,,,,,,,,,,,,,,
57,JVictori,20140529133020,JVictori,104959,WCX003414804,0034148,212,0,,,,20130701,20140701,,0.0,0,-1,,20140529133020,0,0,0,,0,1,26327,WCX,,26723,04,05,00,,159868,0,,,0,,,0,"WCX,0034148,04,05,00",,,,,,,,,,,,,,,,,,,,,,,
58,JVictori,20130128122734,JVictori,105571,WCX003343001,0033430,212,0,,,,20100701,20110701,,0.0,0,-1,,20130128122734,0,0,0,,0,1,26327,WCX,,26723,01,05,00,,146486,0,,,0,,,0,"WCX,0033430,01,05,00",,,,,,,,,,,,,,,,,,,,,,,
59,LGarrets,20140425160252,LGarrets,106322,11LPL8611002,1186110,212,0,,,,20140217,20150217,,0.0,0,-1,,20140425160252,0,0,0,,0,1,26325,LPL,,26723,02,05,00,,158896,0,,,0,,,0,"LPL,1186110,02,05,00",,,,,,,,,,,,,,,,,,,,,,,
60,KGaspard,20150804144407,KGaspard,107395,AGL001361100,0013611,212,0,,,,20140527,20150527,,0.0,0,-1,,20150804144407,0,0,0,,0,1,6857,AGL,,26723,00,01,00,,183889,0,,,0,,,0,"AGL,0013611,00,01,00",,,,,,,,,,,,,,,,,,,,,,,
61,ARodstro,20141021162117,ARodstro,108847,EPO003562605,0035626,212,0,,,,20141004,20151004,,0.0,0,-1,,20141021162117,0,0,0,,0,1,26321,EPO,,26723,05,05,00,,174627,0,,,0,,,0,"EPO,0035626,05,05,00",,,,,,,,,,,,,,,,,,,,,,,
62,MKemp,20161024154658,MKemp,110416,FLP005841401,0058414,212,0,,,,20160426,20170426,,0.0,0,-1,,20161024154658,0,0,0,,0,1,26323,FLP,,26723,01,01,00,,199644,0,,,0,,,0,"FLP,0058414,01,01,00",,,,,,,,,,,,,,,,,,,,,,,
63,KGaspard,20160608115023,KGaspard,113682,AGL002663900,0026639,212,0,,,,20150617,20160617,,0.0,0,-1,,20160608115023,0,0,0,,0,1,6857,AGL,,26723,00,01,00,,194247,0,,,0,,,0,"AGL,0026639,00,01,00",,,,,,,,,,,,,,,,,,,,,,,
64,TCON2A,20120922185531,TCON2A,114773,11CHL6069301,1160693,212,0,,,,20080801,20090801,20090801,0.0,0,-1,,20120922185531,0,0,0,,0,1,26319,CHL,,26723,01,05,00,01,137209,0,,,0,,,0,"CHL,1160693,01,05,00",,,,,,,,,,,,,,,,,,,,,,,
65,JVictori,20160302143702,JVictori,117274,11WCX5943800,1159438,212,0,,,,20070930,20080930,,0.0,0,-1,,20160302143702,0,0,0,,0,1,26327,WCX,,26723,00,05,00,,190723,0,,,0,,,0,"WCX,1159438,00,05,00",,,,,,,,,,,,,,,,,,,,,,,
66,KGaspard,20140124094348,sys,118171,AGL000311700,0003117,212,0,,,,20130805,20140805,,2163.0,0,-1,,20210107114542,0,0,0,,0,1,6857,AGL,,26723,00,01,00,01,,0,,NONPIJ,0,,,0,"AGL,0003117,00,01,00",,,,,,,2163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
67,LGarrets,20150528103552,sys,121032,ABX930029100,9300291,212,0,,,,20140901,20150901,,162500.0,0,-1,,20240926212517,0,0,0,,0,1,7927,ABX,,26723,00,05,00,15,,0,,PIJ,0,,,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
68,JVictori,20160115173008,JVictori,123381,WCX005201401,0052014,212,0,,,,20131014,20141014,,0.0,0,-1,,20160115173008,0,0,0,,0,1,26327,WCX,,26723,01,05,00,,189114,0,,,0,,,0,"WCX,0052014,01,05,00",,,,,,,,,,,,,,,,,,,,,,,
69,KGaspard,20140812110756,KGaspard,124583,AGL000335300,0003353,212,0,,,,20130815,20140815,,0.0,0,-1,,20140812110756,0,0,0,,0,1,6857,AGL,,26723,00,01,00,,161793,0,,,0,,,0,"AGL,0003353,00,01,00",,,,,,,,,,,,,,,,,,,,,,,
70,JVictori,20150619171750,JVictori,127482,WCX002928303,0029283,212,0,,,,20111001,20121001,,0.0,0,-1,,20150619171750,0,0,0,,0,1,26327,WCX,,26723,03,05,00,,182379,0,,,0,,,0,"WCX,0029283,03,05,00",,,,,,,,,,,,,,,,,,,,,,,
71,TCON2A,20120922215210,TCON2A,131464,BFI001808802,0018088,212,0,,,,20081001,20091001,,0.0,0,-1,,20120922215210,0,0,0,,0,1,7927,BFI,,26723,02,05,00,05,139599,0,,,0,,,0,"BFI,0018088,02,05,00",,,,,,,,,,,,,,,,,,,,,,,
72,TCON3A,20120314041905,TCON3A,132934,11WCX5939800,1159398,212,0,,,,20070701,20080701,,0.0,0,-1,,20120314041905,0,0,0,,0,1,26327,WCX,,26723,00,05,00,10,43291,0,,,0,,,0,"WCX,1159398,00,05,00",,,,,,,,,,,,,,,,,,,,,,,
73,TCON1A,20120315223348,TCON1A,133141,11WCX5936801,1159368,212,0,,,,20080418,20090418,,0.0,0,-1,,20120315223348,0,0,0,,0,1,26327,WCX,,26723,01,05,00,10,69140,0,,,0,,,0,"WCX,1159368,01,05,00",,,,,,,,,,,,,,,,,,,,,,,
74,TCON2A,20120923000251,TCON2A,135386,11CAA7095400,1170954,212,0,,,,20090604,20100603,20100603,0.0,0,-1,,20120923000251,0,0,0,,0,1,26319,CAA,,26723,00,05,00,01,141101,0,,,0,,,0,"CAA,1170954,00,05,00",,,,,,,,,,,,,,,,,,,,,,,
75,LBiga,20160411161205,LBiga,135624,FLP005841400,0058414,212,0,,,,20150426,20160426,,0.0,0,-1,,20160411161205,0,0,0,,0,1,26323,FLP,,26723,00,01,00,,192187,0,,,0,,,0,"FLP,0058414,00,01,00",,,,,,,,,,,,,,,,,,,,,,,
76,TCON4A,20120922221423,TCON4A,137858,11CAA5489700,1154897,212,0,,,,20061201,20071201,20071201,0.0,0,-1,,20120922221423,0,0,0,,0,1,26319,CAA,,26723,00,05,00,01,139929,0,,,0,,,0,"CAA,1154897,00,05,00",,,,,,,,,,,,,,,,,,,,,,,
77,JVictori,20150622135229,JVictori,138683,11WCX5945600,1159456,212,0,,,,20080101,20090101,,0.0,0,-1,,20150622135229,0,0,0,,0,1,26327,WCX,,26723,00,05,00,,182416,0,,,0,,,0,"WCX,1159456,00,05,00",,,,,,,,,,,,,,,,,,,,,,,
78,JVictori,20160601144516,JVictori,139335,WCX003935304,0039353,212,0,,,,20140701,20150701,,0.0,0,-1,,20160601144516,0,0,0,,0,1,26327,WCX,,26723,04,05,00,,194003,0,,,0,,,0,"WCX,0039353,04,05,00",,,,,,,,,,,,,,,,,,,,,,,
79,JVictori,20160218165255,JVictori,144382,WCX003123103,0031231,212,0,,,,20120101,20130101,,0.0,0,-1,,20160218165255,0,0,0,,0,1,26327,WCX,,26723,03,05,00,,190251,0,,,0,,,0,"WCX,0031231,03,05,00",,,,,,,,,,,,,,,,,,,,,,,
80,KGaspard,20160311110215,KGaspard,144915,AGL002902400,0029024,212,0,,,,20150821,20160821,,0.0,0,-1,,20160311110215,0,0,0,,0,1,6857,AGL,,26723,00,01,00,,191071,0,,,0,,,0,"AGL,0029024,00,01,00",,,,,,,,,,,,,,,,,,,,,,,
81,KGaspard,20150210164721,KGaspard,148292,AGL000718901,0007189,212,0,,,,20141209,20151209,,0.0,0,-1,,20150210164721,0,0,0,,0,1,6857,AGL,,26723,01,01,00,,178070,0,,,0,,,0,"AGL,0007189,01,01,00",,,,,,,,,,,,,,,,,,,,,,,
82,ARodstro,20140128085552,ARodstro,148401,11GPP4930700,1149307,212,0,,,,20060801,20070801,,0.0,0,-1,,20140128085552,0,0,0,,0,1,6857,GPP,,26723,00,05,00,,156192,0,,,0,,,0,"GPP,1149307,00,05,00",,,,,,,,,,,,,,,,,,,,,,,
83,LGarrets,20151214142729,LGarrets,148412,FDX930005701,9300057,212,0,,,,20150331,20160331,,0.0,0,-1,,20151214142729,0,0,0,,0,1,7927,FDX,,26723,01,05,00,,188145,0,,,0,,,0,"FDX,9300057,01,05,00",,,,,,,,,,,,,,,,,,,,,,,
84,TCON4A,20120813010927,TCON4A,148434,WCX003440701,0034407,212,0,,,,20100701,20110701,,0.0,0,-1,,20120813010927,0,0,0,,0,1,26327,WCX,,26723,01,05,00,10,109803,0,,,0,,,0,"WCX,0034407,01,05,00",,,,,,,,,,,,,,,,,,,,,,,
85,TCON3A,20120922173228,TCON3A,148503,11CAA5889301,1158893,212,0,,,,20080403,20090403,20090403,0.0,0,-1,,20120922173228,0,0,0,,0,1,26319,CAA,,26723,01,05,00,01,136284,0,,,0,,,0,"CAA,1158893,01,05,00",,,,,,,,,,,,,,,,,,,,,,,
86,ARodstro,20160115122619,ARodstro,148584,DPC001955805,0019558,212,0,,,,20111231,20121231,,0.0,0,-1,,20160115122619,0,0,0,,0,1,26326,DPC,,26723,05,01,00,,189098,0,,,0,,,0,"DPC,0019558,05,01,00",,,,,,,,,,,,,,,,,,,,,,,
87,LGarrets,20121008153334,LGarrets,148601,SPL002294604,0022946,212,0,,,,20110901,20120901,,0.0,0,-1,,20121008153334,0,0,0,,0,1,26325,SPL,,26723,04,01,00,,143457,0,,,0,,,0,"SPL,0022946,04,01,00",,,,,,,,,,,,,,,,,,,,,,,
88,MHerman,20160929111917,MHerman,148654,PML001139900,0011399,212,0,,,,20051115,20061115,,0.0,0,-1,,20160929111917,0,0,0,,0,1,26324,PML,,26723,00,05,00,,198645,0,,,0,,,0,"PML,0011399,00,05,00",,,,,,,,,,,,,,,,,,,,,,,
89,TCON2A,20120813055646,TCON2A,148728,11CAA5491603,1154916,212,0,,,,20091201,20101130,20101130,0.0,0,-1,,20120813055646,0,0,0,,0,1,26319,CAA,,26723,03,05,00,01,114216,0,,,0,,,0,"CAA,1154916,03,05,00",,,,,,,,,,,,,,,,,,,,,,,
90,TCON2A,20120922195145,TCON2A,148750,11CAA5898701,1158987,212,0,,,,20080601,20090701,20090701,0.0,0,-1,,20120922195145,0,0,0,,0,1,26319,CAA,,26723,01,05,00,01,137895,0,,,0,,,0,"CAA,1158987,01,05,00",,,,,,,,,,,,,,,,,,,,,,,
